Season,Rank,Last Name and First Name,Points
2000_2001,64,HUUSKONEN Lassi,16
2000_2001,67,OKAMURA Sota,12
2000_2001,70,FATCHULLIN Ildar,9
2000_2001,75,GRILLHOESL Christoph,4
2000_2001,76,KALINITSCHENKO Anton,3
2000_2001,79,BAUMGARTNER Andreas,2
2000_2001,81,NEUMAYER Michael,1
2001_2002,9,HOCKE Stephan,508
2001_2002,16,KRANJEC Robert,348
2001_2002,24,YAMADA Hiroki,194
2001_2002,40,RITZERFELD Joerg,69
2001_2002,44,YLIRIESTO Kimmo,63
2001_2002,45,YLIJERVI Janne,57
2001_2002,46,HAPPONEN Janne,56
2001_2002,47,JONES Clint,55
2001_2002,48,LAPPI Arttu,51
2001_2002,50,ELSE Dirk,49
2001_2002,53,POCHWALA Tomasz,38
2001_2002,55,BACHLEDA Marcin,26
2001_2002,59,FORFANG Daniel,18
2001_2002,65,BYSTOEL Lars,12
2001_2002,65,KEITURI Kalle,12
2001_2002,71,ENGER Ole Christen,8
2001_2002,73,TAJNER Tomislaw,7
2001_2002,74,PETTERSEN Sigrud,6
2001_2002,77,BENKOVIC Rok,5
2001_2002,77,BRACHT Kai,5
2001_2002,86,KREUZER Christoph,2
2001_2002,86,SANTIAGO Remi,2
2002_2003,5,LIEGL Florian,986
2002_2003,10,PETTERSEN Sigurd,747
2002_2003,14,ROMOEREN Bjoern-Einar,523
2002_2003,16,KOFLER Andreas,506
2002_2003,18,NAGILLER Christian,428
2002_2003,20,MORGENSTERN Thomas,385
2002_2003,36,HANSEN Kim-Roar,143
2002_2003,37,HAFELE Mathias,124
2002_2003,39,PIEPER Stefan,87
2002_2003,44,THURNBICHLER Stefan,67
2002_2003,45,KOKKONEN Akseli,59
2002_2003,46,MECHLER Maximilian,54
2002_2003,47,TAKANO Teppei,50
2002_2003,54,JURIS Jaan,28
2002_2003,57,SCHNEIDER Balthasar,25
2002_2003,60,ROSLIAKOV Ilja,20
2002_2003,71,MOELLINGER Michael,8
2002_2003,72,MATURA Jan,7
2002_2003,76,URBANC Rok,5
2002_2003,78,MAZOCH Jan,4
2002_2003,78,REMY Maxime,4
2002_2003,82,SALUMAE Jens,2
2003_2004,37,ITO Daiki,91
2003_2004,38,ERIKSSON Johan,86
2003_2004,44,RUUSKANEN Juha-Matti,65
2003_2004,55,DAMJAN Jernej,22
2003_2004,55,SILAEV Alexey,22
2003_2004,58,RUTKOWSKI Mateusz,17
2003_2004,61,IPATOV Dimitri,14
2003_2004,63,KORNILOV Denis,13
2003_2004,67,BADER Ferdinand,9
2003_2004,67,TAJNER Wojciech,9
2003_2004,70,OLLI Harri,6
2003_2004,70,TAHTAHUNOV Asan,6
2003_2004,74,ANISIMOV Maksim,3
2003_2004,74,ZHAPAROV Radik,3
2003_2004,77,KANG Chil Gu,2
2003_2004,77,MUELLER Roland,2
2004_2005,14,ROMOEREN Bjoern Einar,467
2004_2005,39,BOGATAJ Jure,85
2004_2005,53,STOCH Kamil,36
2004_2005,55,BRUDER Christian,25
2004_2005,63,ICHINOHE Tsuyoshi,19
2004_2005,64,HAJEK Antonin,17
2004_2005,70,YUMOTO Fumihisa,12
2004_2005,72,CHIAPOLINO Stefano,11
2004_2005,72,ZUPAN Bine,11
2004_2005,79,IKONEN Joonas,6
2004_2005,80,AARAAS Jon,5
2004_2005,82,SAKANO Yukio,4
2004_2005,88,PIKL Primoz,2
2004_2005,91,KARAULOV Ivan,1
2005_2006,38,COLLOREDO Sebastian,81
2005_2006,47,LANDERT Guido,40
2005_2006,50,UENO Shingo,26
2005_2006,51,ZYLA Piotr,23
2005_2006,54,HULA Stefan,19
2005_2006,56,LAZZARONI David,18
2005_2006,60,SLIZ Rafal,15
2005_2006,62,HILDE Tom,12
2005_2006,63,MORASSI Andrea,11
2005_2006,65,READ Stefan,10
2005_2006,65,SINKOVEC Jure,10
2005_2006,68,MUSIOL Julian,9
2005_2006,73,SCHLIERENZAUER Gregor,7
2005_2006,76,ALBORN Alan,5
2005_2006,79,VACULIK Ondrej,4
2005_2006,82,SEDLAK Borek,2
2005_2006,85,LACKNER Daniel,1
2006_2007,2,JACOBSEN Anders,1319
2006_2007,11,VASSILIEV Dimitry,523
2006_2007,31,INNAUER Mario,161
2006_2007,35,PAULI Arthur,118
2006_2007,39,KOUDELKA Roman,87
2006_2007,47,ULMER Christian,54
2006_2007,60,DESCOMBES SEVOIE Vincent,26
2006_2007,63,AREN Andreas,21
2006_2007,65,TAKEUCHI Taku,16
2006_2007,71,KARPENKO Nikolay,12
2006_2007,72,HORLACHER Kevin,11
2006_2007,77,CHAADAEV Petr,7
2006_2007,82,HLAVA Lukas,5
2006_2007,82,ITO Kenshiro,5
2006_2007,85,GRIMHOLM Isak,4
2006_2007,87,WANK Andreas,3
2006_2007,88,BODMER Pascal,2
2007_2008,32,KARELIN Pavel,129
2007_2008,35,TOCHIMOTO Shohhei,109
2007_2008,41,CIKL Martin,60
2007_2008,53,VILBERG Andreas,26
2007_2008,56,TEPES Jurij,21
2007_2008,63,IPATOV Dimitry,16
2007_2008,68,FREUND Severin,12
2007_2008,68,KALTENBOECK Bastian,12
2007_2008,72,NIEMI Sami,10
2007_2008,82,LARINTO Ville,2
2007_2008,82,MAZOCH Jiri,2
2007_2008,84,ERIKSON Johan,1
2008_2009,20,EVENSEN Johan Remen,334
